pair,mode,ans,wall_ms,arr_ms,fre_ms,builds,m,K,queries
4850_5651,mask-only,0.077264318310935747869,1131.12,7.1242,36.4310,428,41043,41043,37874
9757_14713,on,0.057372812721619363685,67.71,1.6937,1.1785,63,8118,1331,548
9757_14713,off,0.057372812721619363685,68.39,0.3271,2.5832,63,8697,8697,6001
9757_14713,mask-only,0.057372812721619363685,67.92,1.3306,2.6371,63,8697,8697,6001
526_8243,on,0.033143426193764341514,41.83,1.4909,0.4682,80,6674,1257,791
526_8243,off,0.033143426193764341514,41.19,0.2642,0.7789,80,6674,6674,5566
526_8243,mask-only,0.033143426193764341514,41.04,1.0364,0.6650,80,6674,6674,5566
13981_8360,on,0.0097148168872790811867,32.47,0.6044,1.0866,25,2485,592,340
13981_8360,off,0.0097148168872790811867,33.99,0.1600,2.3219,25,2485,2485,1483
13981_8360,mask-only,0.0097148168872790811867,33.74,0.4118,2.1949,25,2485,2485,1483
8964_2372,on,0.087466335657087918021,59.72,2.2677,0.9977,106,10267,1740,1489
8964_2372,off,0.087466335657087918021,57.70,0.4234,1.5823,106,10267,10267,9481
8964_2372,mask-only,0.087466335657087918021,58.82,1.7727,1.5555,106,10267,10267,9481
14764_14900,on,0.038296139005956311707,35.95,0.1525,0.0013,4,335,46,46
14764_14900,off,0.038296139005956311707,34.33,0.0499,0.0057,4,335,335,335
14764_14900,mask-only,0.038296139005956311707,34.99,0.1590,0.0062,4,335,335,335
11485_8383,on,0.076342947522176587971,222.53,8.1827,11.2430,386,37355,9359,8827
11485_8383,off,0.076342947522176587971,221.39,1.5361,24.8650,386,37355,37355,35595
11485_8383,mask-only,0.076342947522176587971,224.90,6.5665,25.0430,386,37355,37355,35595
15431_2666,on,0.013926035825554475278,60.47,2.0517,0.4290,103,10471,1261,896
15431_2666,off,0.013926035825554475278,54.49,0.3887,6.4222,103,9074,9074,7329
15431_2666,mask-only,0.013926035825554475278,56.63,1.6973,6.4312,103,9074,9074,7329
6626_15161,on,0.009750464943270076984,193.83,0.7713,7.5805,23,3227,722,279
6626_15161,off,0.0097504605062246792191,190.59,0.2282,9.1806,23,3227,3227,1333
6626_15161,mask-only,0.0097504605062246792191,192.26,0.7250,9.8612,23,3227,3227,1333
3482_8920,on,0.049497638663608650722,751.76,19.5520,139.1100,729,84049,18367,18252
3482_8920,off,0.049497635713319124151,534.96,2.6083,176.0000,558,63287,63287,62678
3482_8920,mask-only,0.049497635713319124151,543.08,11.5290,179.3100,558,63287,63287,62678
10611_8115,on,0.181455078944540521,359.46,13.0450,66.4220,543,57805,19858,19072
10611_8115,off,0.181455078944540521,385.57,2.2854,105.6800,543,57805,57805,53838
10611_8115,mask-only,0.181455078944540521,399.19,10.2650,106.7900,543,57805,57805,53838
2159_15252,on,0.076644102658433077568,681.55,15.5780,69.5190,712,66852,22090,21185
2159_15252,off,0.076644102658433077568,722.92,2.8195,125.3400,712,64213,64213,62364
2159_15252,mask-only,0.076644102658433077568,739.55,11.5120,127.9000,712,64213,64213,62364
650_3213,on,0.020050879961018824166,321.29,8.7796,56.6450,382,37371,11347,10995
650_3213,off,0.020050879961018824166,337.29,1.6369,86.7350,382,37371,37371,35637
650_3213,mask-only,0.020050879961018824166,346.93,6.8424,87.0230,382,37371,37371,35637
16446_8083,on,0.010916428300255550179,90.27,1.6258,4.5422,59,7584,1564,921
16446_8083,off,0.010916425698595352139,95.40,0.3697,9.8917,82,9802,9802,7159
16446_8083,mask-only,0.010916425698595352139,94.19,1.6413,9.8720,82,9802,9802,7159
7208_16050,on,0.077062968685064625607,734.46,16.6190,41.7250,743,71673,22063,20999
7208_16050,off,0.077062968685064625607,757.50,3.1628,73.5190,743,71673,71673,68356
7208_16050,mask-only,0.077062968685064625607,788.04,12.9490,77.0020,743,71673,71673,68356
12879_14735,on,0.058357588503567398019,131.00,1.6228,2.8377,67,7298,2603,1841
12879_14735,off,0.058357588503567398019,133.47,0.3164,4.9685,67,7298,7298,5489
12879_14735,mask-only,0.058357588503567398019,133.38,1.2287,5.0038,67,7298,7298,5489
12021_1782,on,0.062937286533477007633,102.99,4.6513,6.6545,226,22918,4069,3547
12021_1782,off,0.062937286533477007633,100.42,0.8785,9.9451,226,22918,22918,21210
12021_1782,mask-only,0.062937286533477007633,107.39,3.8106,9.9746,226,22918,22918,21210
3085_6631,on,0.011451255735040903605,210.49,8.1298,30.8140,342,35469,11807,11240
3085_6631,off,0.011451255735040903605,223.91,1.4637,52.1090,342,35469,35469,33396
3085_6631,mask-only,0.011451255735040903605,231.45,6.3489,52.6100,342,35469,35469,33396
11547_10186,on,0.056850903216328907419,135.04,0.0000,0.0000,0,0,0,0
11547_10186,off,0.056850903216328907419,134.87,0.0000,0.0000,0,0,0,0
11547_10186,mask-only,0.056850903216328907419,137.56,0.0000,0.0000,0,0,0,0
9325_424,on,0.034253697127645615916,156.71,7.3699,28.8500,325,30507,10163,9452
9325_424,off,0.034253697127645615916,168.22,1.3121,48.4550,325,30507,30507,28643
9325_424,mask-only,0.034253697127645615916,174.87,5.6969,48.4650,325,30507,30507,28643
9038_15,on,0.021164013337026051781,431.72,11.0960,38.6870,512,50260,9067,8705
9038_15,off,0.021164010814078454414,438.82,2.2979,63.8840,522,52406,52406,51248
9038_15,mask-only,0.021164010814078454414,446.64,9.3770,63.4860,522,52406,52406,51248
