4257.4 1130 12268.8 16663 2839.4 5477.6 5447.2 6217.2 9366.2 4020.4 5172 4809.6 7072.2 4196.4 1481.2 3528.6 2914.2 1734.2 16066.2 3661 
1130 5054.6 1862.8 7281 5168.4 3872.4 8178.2 6317.2 3411.2 12605.2 10336.6 12559.8 3467.4 7938.4 2576.2 4429 6216.4 2512.6 10276.8 2852.2 
12268.8 1862.8 3753 71595.6 697 4430.2 4327.6 3061 2035.8 4111.8 5381.8 7410.6 2639 3806.6 3578.6 4356.8 10447.2 2771.6 7153.8 5348.2 
16663 7281 71595.6 6644 8387 1093.8 11715.4 4172.4 4030.2 9719.6 14056.6 3989.8 11990.6 210723 3107.4 5890.4 7023.8 10657.8 12769.2 9130 
2839.4 5168.4 697 8387 4850.8 6542.8 9149 4570.4 8608.4 11116.6 2707.8 1836.8 5888 5262.8 2327.6 7231 12292.8 8290.2 2973.2 4460.2 
5477.6 3872.4 4430.2 1093.8 6542.8 3456.4 8237 7436.2 11761.8 8097.6 10327.4 72872.4 8500 7531.4 42618.6 7343 5723.4 7147 5070.4 5720.2 
5447.2 8178.2 4327.6 11715.4 9149 8237 6170.2 8044.4 6981.4 7424.6 6499.8 5022.8 29220 4332.6 3522.2 7546.2 9297.6 5320 14545.6 10572.6 
6217.2 6317.2 3061 4172.4 4570.4 7436.2 8044.4 4024.6 2263.6 7048.4 38710.2 2296 19553.2 6560.8 3122.2 6614 4795.2 5767.2 2455.6 2944.6 
9366.2 3411.2 2035.8 4030.2 8608.4 11761.8 6981.4 2263.6 4054 5584.6 2095.4 1201.8 3581.4 4343 766.6 5795.6 9839.6 4452 9591.4 10563.2 
4020.4 12605.2 4111.8 9719.6 11116.6 8097.6 7424.6 7048.4 5584.6 5721.4 7413.4 8213.6 4983.4 8158.8 1062.4 4377.2 10399.6 9154.6 10208 8288.4 
5172 10336.6 5381.8 14056.6 2707.8 10327.4 6499.8 38710.2 2095.4 7413.4 5053.2 12880.2 2927.2 3921.8 6358.6 563 4717.8 6867 12141.8 3828 
4809.6 12559.8 7410.6 3989.8 1836.8 72872.4 5022.8 2296 1201.8 8213.6 12880.2 4852.4 8339 6926.8 16606.6 7163.8 3779.6 876.2 11315 3800.8 
7072.2 3467.4 2639 11990.6 5888 8500 29220 19553.2 3581.4 4983.4 2927.2 8339 9723 25400.2 6813.2 6101.6 18282.6 3273 12946.4 8929.4 
4196.4 7938.4 3806.6 210723 5262.8 7531.4 4332.6 6560.8 4343 8158.8 3921.8 6926.8 25400.2 3832.2 8379.4 6344.6 8530.4 5329.6 9969.8 2433.6 
1481.2 2576.2 3578.6 3107.4 2327.6 42618.6 3522.2 3122.2 766.6 1062.4 6358.6 16606.6 6813.2 8379.4 6928 6518 11890.4 5384.6 8296.2 853.6 
3528.6 4429 4356.8 5890.4 7231 7343 7546.2 6614 5795.6 4377.2 563 7163.8 6101.6 6344.6 6518 8432.2 20129 3142.6 6271 4404.8 
2914.2 6216.4 10447.2 7023.8 12292.8 5723.4 9297.6 4795.2 9839.6 10399.6 4717.8 3779.6 18282.6 8530.4 11890.4 20129 3355 9618.2 1708.8 24142.6 
1734.2 2512.6 2771.6 10657.8 8290.2 7147 5320 5767.2 4452 9154.6 6867 876.2 3273 5329.6 5384.6 3142.6 9618.2 4810.2 14084 4016 
16066.2 10276.8 7153.8 12769.2 2973.2 5070.4 14545.6 2455.6 9591.4 10208 12141.8 11315 12946.4 9969.8 8296.2 6271 1708.8 14084 5564.4 7694.4 
3661 2852.2 5348.2 9130 4460.2 5720.2 10572.6 2944.6 10563.2 8288.4 3828 3800.8 8929.4 2433.6 853.6 4404.8 24142.6 4016 7694.4 12180.6 

