1397.93 8.63842 8891.66 11897 231.514 3212.82 1973.11 3241.78 2169.73 572.091 1360.88 1279.25 2794.72 947.258 19.7004 698.283 23.3668 24.5922 7882.73 46.0374 
8.63842 3117.2 15.219 2377.6 546.15 1973.89 4788.12 2845.72 1067.17 3954.14 2901.73 6366.85 54.6508 808.384 812.969 1407.99 2861.17 232.442 3013.17 1416.26 
8891.66 15.219 1351.6 60965.6 5.07078 306.473 1463.99 33.9806 14.3981 692.535 1657.39 4491.93 33.8093 438.381 230.502 1464.56 4434.64 407.062 1710.65 2263.88 
11897 2377.6 60965.6 4033.55 5865.94 8.38122 5093.8 894.532 88.0128 7591.68 8083.97 1085.54 4838.13 127416 305.492 2552.06 2700.88 5309.44 6679.95 3865.25 
231.514 546.15 5.07078 5865.94 1055.73 2532.18 3634.46 2134.93 3718.58 4919.96 340.932 47.1992 1744.11 1520 544.056 3237.54 7021.91 4474.57 546.367 84.3633 
3212.82 1973.89 306.473 8.38122 2532.18 1093.8 3771.06 3584.57 1608.12 4890.54 4613.74 41501.4 5587.52 2005.1 28436.9 2952.51 1838.22 4083.73 3055.55 823.017 
1973.11 4788.12 1463.99 5093.8 3634.46 3771.06 2229.46 6316.17 2392.96 3853.55 1661.62 1791.22 17289.4 155.005 658.865 2857.42 3632.68 1394.01 2723.98 4165.08 
3241.78 2845.72 33.9806 894.532 2134.93 3584.57 6316.17 1055.86 467.658 1980.37 20196.5 745.914 13891.5 3071.23 435.627 1889.61 1385.76 2080.32 3134.53 23.8583 
2169.73 1067.17 14.3981 88.0128 3718.58 1608.12 2392.96 467.658 2960.08 2845.06 322.376 999.979 1655.21 973.628 4.12451 4435.23 4426.18 3147.74 4309.59 3934.93 
572.091 3954.14 692.535 7591.68 4919.96 4890.54 3853.55 1980.37 2845.06 4846.93 3283.77 3351.41 2234.86 3187.88 39.386 2599.29 3823.88 6718.28 4825.41 4377.32 
1360.88 2901.73 1657.39 8083.97 340.932 4613.74 1661.62 20196.5 322.376 3283.77 650.829 7035.92 794.424 253.009 2892.61 4.69558 752.345 2067.76 3916.43 1351.98 
1279.25 6366.85 4491.93 1085.54 47.1992 41501.4 1791.22 745.914 999.979 3351.41 7035.92 2814.23 2416.82 2805.41 7465.25 2827.76 513.479 8.30639 3211.9 986.934 
2794.72 54.6508 33.8093 4838.13 1744.11 5587.52 17289.4 13891.5 1655.21 2234.86 794.424 2416.82 5905.72 10564.8 2042.46 6091.99 6282.86 1524.53 6154.12 4933.25 
947.258 808.384 438.381 127416 1520 2005.1 155.005 3071.23 973.628 3187.88 253.009 2805.41 10564.8 747.31 1698.48 2999.95 3071.91 2036.96 2896.94 26.0177 
19.7004 812.969 230.502 305.492 544.056 28436.9 658.865 435.627 4.12451 39.386 2892.61 7465.25 2042.46 1698.48 5559.34 1429.91 2400 1353.16 1973.63 5.55701 
698.283 1407.99 1464.56 2552.06 3237.54 2952.51 2857.42 1889.61 4435.23 2599.29 4.69558 2827.76 6091.99 2999.95 1429.91 3745.27 12508.1 1406.61 2057.61 1062.25 
23.3668 2861.17 4434.64 2700.88 7021.91 1838.22 3632.68 1385.76 4426.18 3823.88 752.345 513.479 6282.86 3071.91 2400 12508.1 1613.03 3669.8 2083.52 8366.43 
24.5922 232.442 407.062 5309.44 4474.57 4083.73 1394.01 2080.32 3147.74 6718.28 2067.76 8.30639 1524.53 2036.96 1353.16 1406.61 3669.8 2604.2 6914.6 768.396 
7882.73 3013.17 1710.65 6679.95 546.367 3055.55 2723.98 3134.53 4309.59 4825.41 3916.43 3211.9 6154.12 2896.94 1973.63 2057.61 2083.52 6914.6 2067.94 3300.37 
46.0374 1416.26 2263.88 3865.25 84.3633 823.017 4165.08 23.8583 3934.93 4377.32 1351.98 986.934 4933.25 26.0177 5.55701 1062.25 8366.43 768.396 3300.37 4118.27 

